date,count
1970-01-01,8
2009-10-13,2
2009-10-15,2
2009-10-22,2
2009-10-23,1
2009-11-03,1
2009-11-07,1
2009-11-24,1
2009-11-26,1
2009-12-24,1
2009-12-25,1
2010-01-20,2
2010-01-22,1
2010-01-28,1
2010-02-13,3
2010-02-19,1
2010-03-04,3
2010-03-05,1
2010-03-07,2
2010-03-09,1
2010-03-10,1
2010-03-14,2
2010-03-15,1
2010-03-17,1
2010-03-18,1
2010-03-19,3
2010-03-28,2
2010-04-02,1
2010-04-05,1
2010-04-07,1
2010-04-17,1
2010-04-26,1
2010-05-10,2
2010-05-26,1
2010-05-27,4
2010-06-15,1
2010-06-16,2
2011-03-27,2
2011-04-18,1
2011-06-27,1
2011-07-10,1
2011-08-13,3
2011-08-20,3
2011-08-26,1
2011-09-04,1
2011-09-05,1
2011-09-06,1
2011-09-12,1
2012-01-05,1
2012-05-02,1
2012-06-17,1
2012-06-26,1
2012-06-27,1
2012-07-03,1
2012-07-07,21
2012-09-04,1
2013-04-21,1
2013-09-20,1
2013-09-28,1
2013-10-30,1
2013-12-19,1
2014-01-06,1
2014-02-17,1
2014-05-05,1
2014-05-13,1
2014-08-23,1
2014-08-28,4
2014-11-04,1
2015-05-01,1
2015-05-13,1
2015-08-23,1
2015-09-06,1
2015-09-12,1
2015-10-13,1
2015-11-24,1
2015-12-12,1
2015-12-17,1
2016-03-05,1
2016-06-12,1
2016-06-30,1
2016-09-19,1
2016-11-21,1
2016-12-14,2
2016-12-18,1
2017-01-10,3
2017-01-11,1
2017-01-29,1
2017-01-31,10
2017-03-07,1
2017-04-09,1
2017-05-07,1
2017-05-16,2
2017-05-17,1
2017-05-18,4
2017-05-19,2
2017-05-20,1
2017-05-21,2
2017-05-22,12
2017-05-24,2
2017-05-25,2
2017-05-26,2
2017-05-29,1
2017-06-09,2
2017-06-23,1
2017-07-01,1
2017-07-11,2
2017-07-28,1
2017-08-05,1
2017-08-10,1
2017-09-02,1
2017-09-05,2
2017-09-13,3
2017-10-04,1
2017-11-08,2
2017-12-22,2
2017-12-24,3
2018-01-11,2
2018-01-12,1
2018-01-28,2
2018-03-27,1
2018-04-02,2
2018-04-22,1
2018-06-02,1
2018-06-08,45
2018-06-09,125
2018-06-10,9
2018-06-11,1
2018-06-12,14
2018-06-15,1
2018-06-21,1
2018-07-01,2
2018-07-04,2
2018-08-06,2
2018-08-12,1
2018-08-24,1
2018-08-25,1
2018-08-26,2
2018-10-23,222
2018-11-09,80
2018-11-10,163
2018-11-11,12
2018-11-29,156
2018-11-30,6
2018-12-01,4
2018-12-02,4
2018-12-04,16
2018-12-05,6
2018-12-07,1
2018-12-17,1
2018-12-18,1
2018-12-19,1
2018-12-20,3
2018-12-27,2
2018-12-28,1
2019-01-17,1
2019-01-20,147
2019-01-21,30
2019-01-22,3
2019-01-25,2
2019-01-29,2
2019-01-30,1
2019-02-02,127
2019-02-03,27
2019-02-04,10
2019-02-05,18
2019-02-06,2
2019-02-13,103
2019-02-14,108
2019-02-15,5
2019-02-16,2
2019-02-17,3
2019-02-22,1
2019-02-23,1
2019-02-24,3
2019-02-25,1
2019-02-26,219
2019-02-27,17
2019-02-28,6
2019-03-01,7
2019-03-02,242
2019-03-03,20
2019-03-04,5
2019-03-05,1
2019-03-06,1
2019-03-08,171
2019-03-09,86
2019-03-10,2
2019-03-11,2
2019-03-12,1
2019-03-14,37
2019-03-15,168
2019-03-16,203
2019-03-17,42
2019-03-18,7
2019-03-19,6
2019-03-20,129
2019-03-21,79
2019-03-22,324
2019-03-23,447
2019-03-24,32
2019-03-25,38
2019-03-26,161
2019-03-27,2
2019-03-28,5
2019-04-01,1
2019-04-02,2
2019-04-04,1
2019-04-06,2
2019-04-08,1
2019-04-10,1
2019-04-14,1
2019-04-16,1
2019-04-26,1
2019-04-28,11
2019-04-29,5
2019-05-20,86
2019-05-21,53
2019-05-22,9
2019-05-24,3
2019-05-25,1
2019-05-31,206
2019-06-01,2
2019-06-04,2
2019-06-06,2
2019-06-19,1
2019-06-23,64
2019-06-24,121
2019-06-25,8
2019-06-26,3
2019-06-28,1529
2019-06-29,511
2019-06-30,40
2019-07-01,9
2019-07-02,10
2019-07-03,7
2019-07-04,5
2019-07-05,1
2019-07-06,3
2019-07-10,2
2019-07-11,1
2019-07-12,2
2019-07-13,1
2019-07-16,1
2019-07-18,421
2019-07-19,116
2019-07-20,21
2019-07-21,4
2019-07-22,259
2019-07-23,25
2019-07-24,17
2019-07-25,10
2019-07-26,4
2019-07-27,14
2019-07-28,14
2019-07-29,2
2019-07-30,12
2019-07-31,1305
2019-08-01,297
2019-08-02,198
2019-08-03,40
2019-08-04,7
2019-08-05,3
2019-08-06,6
2019-08-07,4
2019-08-08,2
2019-08-09,5
2019-08-10,11
2019-08-11,5
2019-08-12,3
2019-08-14,118
2019-08-15,13
2019-08-16,2
2019-08-17,1
2019-08-18,3
2019-08-19,5
2019-08-20,4
2019-08-21,2
2019-08-23,1
2019-08-25,1
2019-08-27,48
2019-08-28,70
2019-08-29,72
2019-08-30,5
2019-09-01,3
2019-09-02,5
2019-09-03,1
2019-09-04,186
2019-09-05,64
2019-09-06,13
2019-09-07,4
